MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,BoroCD
2014 / 10,Queens,03,4897.03,398.5,374.14,4,403
2014 / 10,Bronx,07,3573.16,244.71,316.06,2,207
2014 / 10,Brooklyn,18,5473.81,592.93,474.89,3,318
2014 / 10,Manhattan,06,3017.69,594.58,424.36,1,106
2014 / 10,Queens,14,3222.79,234.7,178.49,4,414
2014 / 10,Brooklyn,14,4990.51,455.24,303.57,3,314
2014 / 10,Queens,01,4220.38,591.81,516.8,4,401
2014 / 10,Brooklyn,13,2178.9,175.78,156.13,3,313
2014 / 10,Bronx,01,1880.43,89.69,94.78,2,201
2014 / 10,Brooklyn,06,2303.01,618.55,388.18,3,306
2014 / 10,Queens,08,3751.68,492.14,322.13,4,408
2014 / 10,Bronx,04,4127.97,187.98,213.28,2,204
2014 / 10,Brooklyn,16,1959.59,110.35,115.79,3,316
2014 / 10,Bronx,05,3416.54,178.73,245.9,2,205
2014 / 10,Queens,05,4942.31,686.67,583.26,4,405
2014 / 10,Bronx,02,1517.46,86.0,118.68,2,202
2014 / 10,Queens,04,4267.39,359.35,296.23,4,404
2014 / 10,Manhattan,01,1332.81,396.75,222.47,1,101
2014 / 10,Brooklyn,15,4663.69,625.48,413.32,3,315
2014 / 10,Brooklyn,02,2542.49,457.25,316.29,3,302
2014 / 10,Manhattan,11,2230.14,206.53,167.55,1,111
2014 / 10,Bronx,09,3816.38,190.9,253.01,2,209
2014 / 10,Brooklyn,01,5153.65,549.44,404.06,3,301
2014 / 10,Manhattan,10,2832.07,259.46,202.27,1,110
2014 / 10,Brooklyn,08,2739.85,240.17,209.7,3,308
2014 / 10,Brooklyn,12,6528.52,714.74,405.3,3,312
2014 / 10,Staten Island,02,4263.31,608.47,455.83,5,502
2014 / 10,Queens,10,3849.97,391.92,349.25,4,410
2014 / 10,Queens,11,3131.1,523.9,354.54,4,411
2014 / 10,Brooklyn,05,4362.51,242.66,287.82,3,305
2014 / 10,Queens,13,5382.16,537.77,571.4,4,413
2014 / 10,Brooklyn,03,4006.65,282.57,242.66,3,303
2014 / 10,Manhattan,03,3073.33,367.02,294.97,1,103
